galaxy_id,c,mB,t0,x0,x1,z,random_Hosting,rand_host,zbin,dec,diskMassStellar,morphology/diskHalfLightRadiusArcsec,morphology/diskMinorAxisArcsec,morphology/positionAngle,morphology/spheroidHalfLightRadiusArcsec,morphology/spheroidMinorAxisArcsec,position_x,position_y,position_z,ra,z,size_bulge_true,size_disk_true,totalMassStellar,zbin_gals,snid
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-30.91032777647527,13212022.0,4.093960936700495,1.545267939567566,13.763606071472168,2.3594443089464123,2.2448015213012695,25.28289031982422,31.64388084411621,-24.25095558166504,51.37577569616101,0.015797260414894848,2.3594443798065186,4.093960762023926,19881790.0,0,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-39.266785222957765,280629888.0,6.519834264353334,3.821484327316284,129.2335662841797,3.7039633098149776,3.432445526123047,22.73727798461914,36.06710433959961,-34.8558235168457,57.772014556371104,0.018437811864294957,3.703963279724121,6.519834041595459,280629888.0,0,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-33.27770921599644,44845704.0,3.50295395345489,0.6871365904808044,173.10462951660156,2.0043097824203464,1.7640557289123535,19.843395233154297,53.74795913696289,-37.60322952270508,69.73618353025023,0.022965499012959058,2.004309892654419,3.5029540061950684,84181392.0,1,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-34.28319523515111,201533120.0,7.850125412823872,4.32400369644165,92.37815856933594,4.465500066515007,2.977215528488159,23.24350357055664,46.05328369140625,-35.167747497558594,63.219514139381076,0.020913384161040275,4.4654998779296875,7.850125312805176,1824978432.0,1,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-28.657059042965017,944363264.0,11.870978944563706,4.318661689758301,112.53279876708984,6.863930771359068,4.514179706573486,15.051403045654297,41.657230377197266,-24.206579208374023,70.13442657612109,0.016894105664331666,6.863930702209473,11.870979309082031,6865759232.0,0,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-40.28027730302665,6170120704.0,11.007176821478305,10.8589506149292,11.855588912963867,6.456828638084542,6.442602634429932,30.92881202697754,41.73585891723633,-44.02338409423828,53.45930280946909,0.02281753549389509,6.456828594207764,11.007176399230957,7768814080.0,1,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-40.85560103427062,398130336.0,22.85100867225463,8.320392608642578,22.27688980102539,15.062689405782558,12.266477584838867,22.495208740234375,41.9596061706543,-41.1759147644043,61.80353680995313,0.021085591462240167,15.062689781188965,22.851009368896484,81396080640.0,1,34
57,0.028766132260971126,-18.83543905019344,61424.11402806771,0.0018360502746457012,-0.6590920005032409,0.039496159407987015,0.45751541774384585,0.12975629770517993,1,-42.338884155205335,92574112.0,4.079973230245987,2.296461343765259,44.224605560302734,2.328603187245567,2.284684419631958,15.87337875366211,47.49755096435547,-45.63123321533203,71.52070063895131,0.022702742429970942,2.3286032676696777,4.079973220825195,174015408.0,1,34
71,-0.069404533329642,-19.184509934324655,62476.77670871175,0.008140299702900158,-0.6664569970455397,0.022319221813680477,0.6152637715280388,0.831205255690418,1,-31.27999234401007,22447884.0,5.130519547804439,2.8384997844696045,150.77452087402344,3.070691798805958,3.0012760162353516,30.8770809173584,38.0654182434082,-29.777528762817383,50.95247578024568,0.01920407494396072,3.0706918239593506,5.130519390106201,53310228.0,0,36
71,-0.069404533329642,-19.184509934324655,62476.77670871175,0.008140299702900158,-0.6664569970455397,0.022319221813680477,0.6152637715280388,0.831205255690418,1,-34.994859735712254,16555308032.0,14.030332290542724,13.962542533874512,174.365478515625,8.968899008639882,8.842692375183105,22.62993812561035,37.53425216674805,-30.68316078186035,58.913623192806305,0.017910482493845598,8.96889877319336,14.030332565307617,27068743680.0,0,36
71,-0.069404533329642,-19.184509934324655,62476.77670871175,0.008140299702900158,-0.6664569970455397,0.022319221813680477,0.6152637715280388,0.831205255690418,1,-31.617837506639958,93466360.0,3.231216662285606,2.0454840660095215,131.01734924316406,1.9424182363873426,1.8810490369796753,22.6474552154541,56.649986267089844,-37.559326171875,68.20952430980338,0.024013496479087338,1.9424182176589966,3.2312166690826416,93466360.0,1,36
71,-0.069404533329642,-19.184509934324655,62476.77670871175,0.008140299702900158,-0.6664569970455397,0.022319221813680477,0.6152637715280388,0.831205255690418,1,-27.23671542945422,13998996480.0,12.809518597157055,10.688579559326172,158.8184814453125,8.414597013027713,8.369592666625977,28.872838973999023,52.3838005065918,-30.78864097595215,61.137378854214774,0.022541879252413063,8.414596557617188,12.809518814086914,35992842240.0,1,36
